City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,55.02,50,20,20.71,AR,1667929187
1,clyde river,70.4692,-68.5914,12.43,85,100,12.66,CA,1667929387
2,isabela,6.7085,121.9711,78.91,85,100,1.83,PH,1667929347
3,hofn,64.2539,-15.2082,41.54,88,100,25.75,IS,1667929394
4,busselton,-33.65,115.3333,59.4,78,86,3.65,AU,1667929397
5,mataura,-46.1927,168.8643,45.81,98,74,2.55,NZ,1667929171
6,carnarvon,-24.8667,113.6333,66.36,70,0,10.74,AU,1667929401
7,huancavelica,-12.7667,-74.9833,51.21,49,53,8.55,PE,1667929308
8,olafsvik,64.8945,-23.7142,41.25,81,100,21.63,IS,1667929406
9,santa cruz,-17.8,-63.1667,95.05,26,40,8.05,BO,1667929142
10,tasiilaq,65.6145,-37.6368,30.36,88,100,4.88,GL,1667929203
11,sur,22.5667,59.5289,83.16,57,75,8.79,OM,1667929415
12,teya,60.3778,92.6267,18.25,94,94,5.44,RU,1667929418
13,coolum beach,-26.5333,153.1,61.11,89,31,9.1,AU,1667929420
14,hermanus,-34.4187,19.2345,62.8,78,69,7.63,ZA,1667929423
15,rikitea,-23.1203,-134.9692,74.93,90,64,15.59,PF,1667929425
16,atuona,-9.8,-139.0333,76.98,70,96,15.59,PF,1667929427
17,hobart,-42.8794,147.3294,57.06,84,88,9.22,AU,1667929430
18,vaini,-21.2,-175.2,73.56,83,75,9.22,TO,1667929434
19,waitara,-38.925,174.25,53.01,75,64,6.49,NZ,1667929437
20,yellowknife,62.456,-114.3525,7.32,85,100,5.75,CA,1667929331
21,simao,22.7886,100.9748,55.15,79,22,1.7,CN,1667929441
22,ust-nera,64.5667,143.2,-24.74,99,84,3.8,RU,1667929444
23,bambous virieux,-20.3428,57.7575,75.45,73,20,5.75,MU,1667929446
24,severo-kurilsk,50.6789,156.125,34.14,74,94,7.45,RU,1667929449
25,saskylakh,71.9167,114.0833,-11.02,100,99,3.47,RU,1667929453
26,mussomeli,37.5778,13.7513,56.86,80,61,1.63,IT,1667929456
27,vestmanna,62.1564,-7.1664,45.52,93,75,8.05,FO,1667929458
28,san andres,12.5847,-81.7006,87.82,66,20,4.61,CO,1667929461
29,pevek,69.7008,170.3133,-6.92,100,89,4.38,RU,1667929465
30,saldanha,-33.0117,17.9442,64.45,78,96,11.21,ZA,1667929467
31,pisco,-13.7,-76.2167,66.25,77,20,11.5,PE,1667929350
32,andenes,69.3143,16.1194,37.38,70,20,16.11,NO,1667929472
33,puerto ayora,-0.7393,-90.3518,75.16,80,48,7.0,EC,1667929474
34,livingston,55.9029,-3.5226,49.89,82,20,13.8,GB,1667929477
35,albany,42.6001,-73.9662,52.95,31,6,1.99,US,1667929371
36,victoria,22.2855,114.1577,73.45,87,98,3.0,HK,1667929237
37,punta arenas,-53.15,-70.9167,57.31,41,40,23.02,CL,1667929484
38,mar del plata,-38.0023,-57.5575,80.83,57,0,13.8,AR,1667929307
39,jamestown,42.097,-79.2353,50.52,55,0,8.05,US,1667929490
40,port hardy,50.6996,-127.4199,32.18,51,20,20.71,CA,1667929493
41,kapaa,22.0752,-159.319,78.1,84,75,18.41,US,1667929495
42,faya,18.3851,42.4509,66.31,78,14,5.03,SA,1667929498
43,khatanga,71.9667,102.5,-14.15,100,100,7.56,RU,1667929500
44,hirara,24.8,125.2833,77.36,77,19,19.84,JP,1667929503
45,matagami,49.7502,-77.6328,28.51,74,100,10.36,CA,1667929505
46,lagoa,39.05,-27.9833,64.94,79,73,20.13,PT,1667929508
47,fare,-16.7,-151.0167,77.58,73,91,9.75,PF,1667929511
48,mogadishu,2.0371,45.3438,79.09,79,46,12.28,SO,1667929513
49,port lincoln,-34.7333,135.8667,70.93,55,62,16.49,AU,1667929516
50,saint-philippe,-21.3585,55.7679,72.99,80,67,10.07,RE,1667929519
51,kavieng,-2.5744,150.7967,82.76,74,96,6.4,PG,1667929521
52,provideniya,64.3833,-173.3,29.44,95,100,17.9,RU,1667929524
53,tiksi,71.6872,128.8694,-7.22,95,100,8.93,RU,1667929528
54,kiama,-34.6833,150.8667,61.0,86,5,5.55,AU,1667929530
55,benghazi,32.1167,20.0667,70.65,64,24,12.12,LY,1667929535
56,leningradskiy,69.3833,178.4167,17.49,89,100,25.68,RU,1667929537
57,bluff,-46.6,168.3333,51.89,87,78,15.14,NZ,1667929540
58,new norfolk,-42.7826,147.0587,56.71,61,91,1.7,AU,1667929532
59,dingle,10.9995,122.6711,76.06,93,94,6.89,PH,1667929544
60,bethel,41.3712,-73.414,56.89,40,0,12.66,US,1667929463
61,port hedland,-20.3167,118.5667,71.65,73,0,13.8,AU,1667929549
62,vao,-22.6667,167.4833,74.32,85,33,11.52,NC,1667929551
63,qaanaaq,77.484,-69.3632,-7.2,73,52,7.07,GL,1667929553
64,angoram,-4.0625,144.0661,73.27,98,100,1.59,PG,1667929556
65,thompson,55.7435,-97.8558,5.16,85,100,10.36,CA,1667929559
66,castro,-24.7911,-50.0119,69.82,42,68,5.5,BR,1667929404
67,lebu,-37.6167,-73.65,61.61,70,100,2.3,CL,1667929563
68,georgetown,5.4112,100.3354,81.23,90,20,0.0,MY,1667929566
69,bredasdorp,-34.5322,20.0403,61.34,74,61,9.06,ZA,1667929568
70,kodiak,57.79,-152.4072,42.31,93,100,11.5,US,1667929571
71,port alfred,-33.5906,26.891,65.17,91,77,10.36,ZA,1667929573
72,quzhou,28.9594,118.8686,60.49,82,2,4.92,CN,1667929576
73,esperance,-33.8667,121.9,58.08,77,95,8.99,AU,1667929578
74,asau,46.4333,26.4,43.72,85,65,2.84,RO,1667929418
75,fairbanks,64.8378,-147.7164,24.76,87,100,0.0,US,1667929583
76,minudasht,37.2289,55.3747,45.97,76,0,4.61,IR,1667929586
77,port elizabeth,-33.918,25.5701,66.09,82,0,5.75,ZA,1667929365
78,meulaboh,4.1363,96.1285,75.24,93,100,5.82,ID,1667929593
79,san patricio,28.017,-97.5169,84.92,60,17,11.07,US,1667929595
80,mahebourg,-20.4081,57.7,75.49,73,20,5.75,MU,1667929373
81,quatre cocos,-20.2078,57.7625,75.31,70,68,10.56,MU,1667929599
82,upernavik,72.7868,-56.1549,3.24,68,13,7.45,GL,1667929602
83,trincomalee,8.5711,81.2335,78.66,87,100,12.48,LK,1667929605
84,cape town,-33.9258,18.4232,66.61,63,40,14.97,ZA,1667929548
